#,Stack,Input,Action
48,0 3 8 28 61 107 61 107,": inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
49,0 3 8 28 61 107 61 107 136,": inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $","r18 (<rep_id> → , id <rep_id>)"
50,0 3 8 28 61 107 136,": inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $","r18 (<rep_id> → , id <rep_id>)"
51,0 3 8 28 60,": inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
52,0 3 8 27,": inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s59
53,0 3 8 27 59,"inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
54,0 3 8 27 59 10,"; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
55,0 3 8 27 59 103,"; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r22 (<tipo> → <tipo_pre_def>)
56,0 3 8 27 59 102,"; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s132
57,0 3 8 27 59 102 132,"var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s8
58,0 3 8 27 59 102 132 8,"id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
59,0 3 8 27 59 102 132 8 28,": cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
60,0 3 8 27 59 102 132 8 28 60,": cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
61,0 3 8 27 59 102 132 8 27,": cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s59
62,0 3 8 27 59 102 132 8 27 59,"cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s105
63,0 3 8 27 59 102 132 8 27 59 105,"[ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s134
64,0 3 8 27 59 102 132 8 27 59 105 134,"num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s47
65,0 3 8 27 59 102 132 8 27 59 105 134 47,"] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r79 (<constante_explicita> → num_int)
66,0 3 8 27 59 102 132 8 27 59 105 134 110,"] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r21 (<constante> → <constante_explicita>)
67,0 3 8 27 59 102 132 8 27 59 105 134 155,"] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s167
68,0 3 8 27 59 102 132 8 27 59 105 134 155 167,"; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r24 (<tipo> → cadeia [ <constante> ])
69,0 3 8 27 59 102 132 8 27 59 102,"; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s132
70,0 3 8 27 59 102 132 8 27 59 102 132,"var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s8
71,0 3 8 27 59 102 132 8 27 59 102 132 8,"id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
72,0 3 8 27 59 102 132 8 27 59 102 132 8 28,": vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
73,0 3 8 27 59 102 132 8 27 59 102 132 8 28 60,": vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
74,0 3 8 27 59 102 132 8 27 59 102 132 8 27,": vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s59
75,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59,"vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s106
76,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106,"[ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s135
77,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135,"num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s47
78,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 47,"] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r79 (<constante_explicita> → num_int)
79,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 110,"] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r21 (<constante> → <constante_explicita>)
80,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 156,"] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s168
81,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 156 168,"de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s172
82,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 156 168 172,"real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s11
83,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 156 168 172 11,"; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r27 (<tipo_pre_def> → real)
84,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 106 135 156 168 172 177,"; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r25 (<tipo> → vetor [ <constante> ] de <tipo_pre_def>)
85,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 102,"; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s132
86,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 102 132,"proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r6 (<dcl_var> → )
87,0 3 8 27 59 102 132 8 27 59 102 132 8 27 59 102 132 153,"proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r5 (<dcl_var> → var <lid> : <tipo> ; <dcl_var>)
88,0 3 8 27 59 102 132 8 27 59 102 132 153,"proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r5 (<dcl_var> → var <lid> : <tipo> ; <dcl_var>)
89,0 3 8 27 59 102 132 153,"proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r5 (<dcl_var> → var <lid> : <tipo> ; <dcl_var>)
90,0 3 7,"proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s25
91,0 3 7 25,"id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s57
92,0 3 7 25 57,"( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s100
93,0 3 7 25 57 100,"val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s130
94,0 3 7 25 57 100 130,"id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
95,0 3 7 25 57 100 130 28,", id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s61
96,0 3 7 25 57 100 130 28 61,"id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s107
97,0 3 7 25 57 100 130 28 61 107,": inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
98,0 3 7 25 57 100 130 28 61 107 136,": inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $","r18 (<rep_id> → , id <rep_id>)"
99,0 3 7 25 57 100 130 28 60,": inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
100,0 3 7 25 57 100 130 151,": inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s164
101,0 3 7 25 57 100 130 151 164,"inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
102,0 3 7 25 57 100 130 151 164 10,") ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
103,0 3 7 25 57 100 130 151 164 170,") ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r16 (<rep_listapar> → )
104,0 3 7 25 57 100 130 151 164 170 175,") ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r14 (<listapar> → val <lid> : <tipo_pre_def> <rep_listapar>)
